Run,Sample,toluene,Peak_1,Peak_2,tol_adj,KE_toluene,KE_Peak1,KE_Peak2,KE_tol_adj,Difference,,,,,,,,,,,,
22072606,9305,1484224,1484224,3071828,-3071828,72176314,1642977,2642992,67890345,70962173,,,,,,,,,,,,
22072730,9461,50711504,1103354,2861770,46746380,51696906,991538,1961275,48744093,,,,,,,,,,,,,
22072737,9476,36937260,0,1158774,35778486,41994757,0,945514,,,,,,,,,,,,,,
22072738,9477,35544008,0,1155479,34388529,41631075,0,879986,,,,,,,,,,,,,,
22072739,9479,41212570,0,1173503,40039067,48392037,0,1004816,,,,,,,,,,,,,,
22072740,9480,40046420,0,1111160,38935260,,,,,,,,,,,,,,,,,
22072807,9502,51421543,1361309,3312446,46747788,,,,,,,TIC:,22072738.D\data.ms,,,,,,,,,
22072819,9528,52727822,1390599,3472718,47864505,,,,,,TIC:,9477,,,,,,,,,,
22072822,9534,51780729,1532364,3475850,46772515,,,,,,9477,,,,,,,,,,,
22072841,9625,39203055,1175228,0,38027827,,,,,,,Peak,#,Ret,Time,Type,Width,Area,Start,Time,End,Time
22072842,9628,36113206,1103827,0,35009379,,,,,,Peak,1,4.599,M,0.094,,4.531,4.744,,,,
22072843,9642,42740613,1130804,0,41609809,,,,,,1,3.934,M,0.263,,3.832,5.147,,,,,
22080102,9643,47395748,1482701,3618547,42294500,,,,,,1,4.599,M,0.1,945514,4.526,4.759,,,,,
22080112,9666,8264355,5462998,0,2801357,,,,,,,,,,,,,,,,,
22080138,9752,51704058,7501470,0,44202588,,,,,,Peak,#,Ret,Time,Type,Width,Area,Start,Time,End,Time,
22080139,9753,49418194,484716,6805727,42127751,,,,,,1,4.116,M,0.04,,4.07,4.159,,,,,
22080140,9754,48202975,1578799,7869762,38754414,,,,,,2,4.601,M,0.05,,4.552,4.676,,,,,
22080208,9773,62958153,4893405,11548862,46515886,,,,,,9461,,,,,,,,,,,
22080210,9778,57907162,4738536,11774662,41393964,,,,,,,,,,,,,,,,,
22080212,9784,58709748,4682934,11448642,42578172,,,,,,Peak #,Ret Time,Type,Width,Area,Start Time,End Time,,,,,
22080213,9793,56384053,4319876,11099524,40964653,,,,,,TIC:,22072739.D\data.ms,,,,,,,,,,
22080214,9806,64617683,4606858,11785479,48225346,,,,,,TIC:,22072739.D\data.ms,,,,,,,,,,
22080215,9809,56490503,5144909,12784230,38561364,,,,,,9479,,,,,,,,,,,
22080216,9810,60077472,5022927,12511473,42543072,,,,,,,,,,,,,,,,,
22080228,9829,57796897,4754297,11333458,41709142,,,,,,Peak,#,Ret,Time,Type,Width,Area,Start,Time,End,Time,
22080234,9842,64999322,5304527,12225886,47468909,,,,,,1,4.602,M,0.105,,4.524,4.763,,,,,
22080235,9843,64942225,4903340,12062728,47976157,,,,,,,,,,,,,,,,,
22080239,9847,62376228,4507374,10872960,46995894,,,,,,,,,,,,,,,,,
22080241,9851,51236232,1861041,8654071,40721120,,,,,,,,,,,,,,,,,
22080242,9852,29349024,1484598,5682043,22182383,,,,,,,,,,,,,,,,,
22080243,9853,28860420,1325560,5362515,22172345,,,,,,,,,,,,,,,,,
22080244,9854,36830960,1812156,6330867,28687937,,,,,,,,,,,,,,,,,
22080245,9855,47221691,2138078,8584246,36499367,,,,,,,,,,,,,,,,,
22080246,9856,42704981,7840971,0,34864010,,,,,,,,,,,,,,,,,
22080247,9857,44343931,1730693,6878145,35735093,,,,,,,,,,,,,,,,,
22080248,9860,37548219,1414381,5504188,30629650,,,,,,,,,,,,,,,,,
22080249,9862,46151822,1547517,7123075,37481230,,,,,,,,,,,,,,,,,
22080250,9867,28149900,1014084,3924048,23211768,,,,,,,,,,,,,,,,,
22080251,9869,32039244,1357574,4970600,25711070,,,,,,,,,,,,,,,,,
22080252,9870,46750475,1889798,7962301,36898376,,,,,,,,,,,,,,,,,
22080304,9878,64383350,4481053,11597834,48304463,,,,,,,,,,,,,,,,,
22080307,9886,64812045,4500287,11574035,48737723,,,,,,,,,,,,,,,,,
22080316,9898,63827999,5070182,13257848,45499969,,,,,,,,,,,,,,,,,
22080327,9927,64326797,4439474,11693689,48193634,,,,,,,,,,,,,,,,,
22080340,9960,54328101,2204527,9051748,43071826,,,,,,,,,,,,,,,,,
22080423,10024,62470345,4727646,11655142,46087557,,,,,,,,,,,,,,,,,
22080430,10042,52572123,2025917,7474953,43071253,,,,,,,,,,,,,,,,,
22080431,10044,48750961,1872661,7055035,39823265,,,,,,,,,,,,,,,,,
22080432,10045,44854939,1951492,7155448,35747999,,,,,,,,,,,,,,,,,
22080433,10048,19115983,647282,2679856,15788845,,,,,,,,,,,,,,,,,
22080434,10050,46143580,1249631,5610705,39283244,,,,,,,,,,,,,,,,,
22080435,10053,45985305,1598639,6350656,38036010,,,,,,,,,,,,,,,,,
22080436,10056,46473220,1625676,6106101,38741443,,,,,,,,,,,,,,,,,
22080437,10058,28445444,1117544,4207495,23120405,,,,,,,,,,,,,,,,,
22080438,10060,49174560,2071053,8309411,38794096,,,,,,,,,,,,,,,,,
22080439,10061,29386523,1365325,4711773,23309425,,,,,,,,,,,,,,,,,
22080440,10062,46830291,1655559,6484714,38690018,,,,,,,,,,,,,,,,,
22080441,10064,48794076,1956081,7581871,39256124,,,,,,,,,,,,,,,,,
22080512,10090,61117323,3582750,9401084,48133489,,,,,,,,,,,,,,,,,
22080809,10187,62550598,5255539,11129410,46165649,,,,,,,,,,,,,,,,,
22080817,10214,66249534,5175477,13160383,47913674,,,,,,,,,,,,,,,,,
22080818,10216,62801131,5202940,11659055,45939136,,,,,,,,,,,,,,,,,
22080819,10217,65920855,5184749,12633481,48102625,,,,,,,,,,,,,,,,,
22080820,10218,62664087,5898545,12100918,44664624,,,,,,,,,,,,,,,,,
22080824,10225,62025895,5067902,12149746,44808247,,,,,,,,,,,,,,,,,
22080826,10227,59801995,5296072,13170435,41335488,,,,,,,,,,,,,,,,,
22080827,10229,58938977,4835198,11480158,42623621,,,,,,,,,,,,,,,,,
22080834,10241,63610052,4845567,12706095,46058390,,,,,,,,,,,,,,,,,
22080838,10285,53542147,2494278,7849962,43197907,,,,,,,,,,,,,,,,,
22080839,10286,49026173,2563350,8913505,37549318,,,,,,,,,,,,,,,,,
22080840,10290,45419111,2305715,7631500,35481896,,,,,,,,,,,,,,,,,
22080841,10292,35021545,1665559,6152487,27203499,,,,,,,,,,,,,,,,,
22080842,10295,19805845,1152404,3890748,14762693,,,,,,,,,,,,,,,,,
22080843,10296,52831526,2530848,9108184,41192494,,,,,,,,,,,,,,,,,
22080902,10298,58905144,4458011,10593193,43853940,,,,,,,,,,,,,,,,,
22080910,10307,64165385,4945345,11708416,47511624,,,,,,,,,,,,,,,,,
22080913,10311,60076536,5403531,12830381,41842624,,,,,,,,,,,,,,,,,
22080920,10323,63049690,5091439,11593859,46364392,,,,,,,,,,,,,,,,,
22080922,10325,60764357,3796782,9649642,47317933,,,,,,,,,,,,,,,,,
22080931,10342,66176183,5108242,12891407,48176534,,,,,,,,,,,,,,,,,
22080933,10346,26472611,1641845,5397861,19432905,,,,,,,,,,,,,,,,,
22080934,10347,47579633,2646206,8534857,36398570,,,,,,,,,,,,,,,,,
22080935,10348,23534023,1533719,4679856,17320448,,,,,,,,,,,,,,,,,
22080936,10349,28734367,1604651,4801258,22328458,,,,,,,,,,,,,,,,,
22080937,10350,44096263,1935651,7816107,34344505,,,,,,,,,,,,,,,,,
22080938,10351,27183375,1349670,4760363,21073342,,,,,,,,,,,,,,,,,
22080939,10352,26850288,1735729,5273228,19841331,,,,,,,,,,,,,,,,,
22080940,10353,42673882,2077766,6385286,34210830,,,,,,,,,,,,,,,,,
22080941,9698,27669092,0,908401,26760691,,,,,,,,,,,,,,,,,
22080942,10412,44945162,2422272,8701927,33820963,,,,,,,,,,,,,,,,,
22080943,10411,46257989,3061232,9110525,34086232,,,,,,,,,,,,,,,,,
22080944,10410,50043420,2369770,7595899,40077751,,,,,,,,,,,,,,,,,
22080945,10409,35842949,1144440,4965406,29733103,,,,,,,,,,,,,,,,,
22080946,10408,30205259,1353049,4840596,24011614,,,,,,,,,,,,,,,,,
22080947,10407,37946326,1369417,5658532,30918377,,,,,,,,,,,,,,,,,
22080948,10406,29622561,1247947,4383251,23991363,,,,,,,,,,,,,,,,,
22081002,10405,61073873,4554870,9470096,47048907,,,,,,,,,,,,,,,,,
22081003,10404,62585010,4634735,10952374,46997901,,,,,,,,,,,,,,,,,
22081007,10400,53986384,3391714,8974683,41619987,,,,,,,,,,,,,,,,,
22081013,10394,63512485,4775935,12680742,46055808,,,,,,,,,,,,,,,,,
22081016,10391,62997756,3899131,10995018,48103607,,,,,,,,,,,,,,,,,
22081019,10388,56667024,4144355,10391740,42130929,,,,,,,,,,,,,,,,,
22081030,10375,62674232,4229124,10634624,47810484,,,,,,,,,,,,,,,,,
22081033,10356,64327089,4874988,12864694,46587407,,,,,,,,,,,,,,,,,
22081035,10358,43451061,1869217,7644738,33937106,,,,,,,,,,,,,,,,,
22081036,10359,44841884,2046582,7441340,35353962,,,,,,,,,,,,,,,,,
22081037,10360,41677718,1536911,7285853,32854954,,,,,,,,,,,,,,,,,
22081038,10361,34830322,1817617,6609977,26402728,,,,,,,,,,,,,,,,,
22081039,10362,22100170,1052826,4025173,17022171,,,,,,,,,,,,,,,,,
22081040,10363,45684320,1764326,7677169,36242825,,,,,,,,,,,,,,,,,
22081041,10364,27191024,996926,3509164,22684934,,,,,,,,,,,,,,,,,
22081105,10371,58899401,4838170,11631035,42430196,,,,,,,,,,,,,,,,,
22081107,10373,65150183,4656040,12034952,48459191,,,,,,,,,,,,,,,,,
22081108,10374,60485550,4167344,10033125,46285081,,,,,,,,,,,,,,,,,
22081114,10418,59578471,4613502,11947608,43017361,,,,,,,,,,,,,,,,,
22081117,10421,63249025,5207272,11570501,46471252,,,,,,,,,,,,,,,,,
22081122,10428,61071186,4800643,13004676,43265867,,,,,,,,,,,,,,,,,
22081125,10431,57135844,4594357,12955648,39585839,,,,,,,,,,,,,,,,,
22081131,10439,66072079,4844316,13352155,47875608,,,,,,,,,,,,,,,,,
22072741B,9482,40986578,0,1334812,39651766,,,,,,,,,,,,,,,,,
22072742B,9483,20597937,0,507913,20090024,,,,,,,,,,,,,,,,,
22072743B,9486,36442781,0,986434,35456347,,,,,,,,,,,,,,,,,